requirement_id,status,owner,phase,implementation_ref,test_ref,evidence_ref,threat_ref,blocker,commit,last_updated
G0-NET-01,VERIFIED,Claude/Protocol,G0,,manual curl JSON-RPC,release-evidence/r1/g0/network-verification.json,,,,"2026-09-10"
G0-NET-02,VERIFIED,Claude/Protocol,G0,,manual curl JSON-RPC,release-evidence/r1/g0/network-verification.json,,,,"2026-09-10"
G0-NET-03,VERIFIED,Claude/Protocol,G0,,genlayer network info,release-evidence/r1/g0/network-verification.json,,,,"2026-09-10"
G0-NET-04,VERIFIED,Claude/SDK,G0,,node import genlayer-js chains,release-evidence/r1/g0/network-verification.json,,,,"2026-09-10"
G0-NET-05,VERIFIED,Claude/SDK,G0,,python import genlayer_py.chains,release-evidence/r1/g0/network-verification.json,,,,"2026-09-10"
G0-TOOL-01,VERIFIED,Claude/Release,G0,,genlayer --version,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-02,VERIFIED,Claude/Release,G0,,npm ls / package.json,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-03,VERIFIED,Claude/Release,G0,,pip show genlayer-py,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-04,VERIFIED,Claude/Release,G0,,pip show genlayer-test,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-05,VERIFIED,Claude/Release,G0,,genvm-lint --version,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-06,VERIFIED,Claude/Release,G0,,python3 --version,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-TOOL-07,VERIFIED,Claude/Release,G0,,node -v / npm -v,release-evidence/r1/g0/version-report.txt,,,,"2026-09-10"
G0-RUN-01,VERIFIED,Claude/Protocol,G0,,genvm-lint check against genvm-manager v0.6.0-rc3/rc4 bundles,toolchain/runner.lock,,,,"2026-09-10"
G0-RUN-02,VERIFIED,Claude/Protocol,G0,,runner.json manifest read from pinned runner,toolchain/runner.lock,,,,"2026-09-10"
G0-RUN-03,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint check,release-evidence/r1/g0/smoke-test-report.txt,,,,"2026-09-10"
G0-LINT-01,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint lint,release-evidence/r1/g0/smoke-test-report.txt,,,,"2026-09-10"
G0-LINT-02,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint validate,release-evidence/r1/g0/smoke-test-report.txt,,,,"2026-09-10"
G0-LINT-03,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint schema --json,release-evidence/r1/g0/smoke-schema.json,,,,"2026-09-10"
G0-LINT-04,VERIFIED,Claude/Protocol,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genvm-lint typecheck --json,release-evidence/r1/g0/smoke-test-report.txt,,CF-007 accepted known limitation,,"2026-09-10"
G0-TEST-01,VERIFIED,Claude/QA,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,pytest direct_deploy fixture (Direct Mode),release-evidence/r1/g0/direct-mode-report.md,,CF-013 Windows-host caveat worked around via WSL,,"2026-09-10"
G0-DEP-01,VERIFIED,Claude/Release,G0,release-evidence/r1/g0/deploy-success-pinned/smoke-contract-pinned.py,genlayer deploy --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,"2026-09-10"
G0-DEP-02,VERIFIED,Claude/Release,G0,,genlayer deploy,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,"2026-09-10"
G0-DEP-03,VERIFIED,Claude/Release,G0,,genlayer receipt,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,"2026-09-10"
G0-DEP-04,VERIFIED,Claude/Release,G0,,genlayer receipt,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,"2026-09-10"
G0-DEP-05,VERIFIED,Claude/Release,G0,,genlayer call get_counter (before/after write),release-evidence/r1/g0/deploy-success-pinned/smoke-write-receipt.txt,,,,"2026-09-10"
G0-FEE-01,VERIFIED,Claude/Release,G0,,genlayer deploy --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-deployment-receipt.txt,,,,"2026-09-10"
G0-FEE-02,VERIFIED,Claude/Release,G0,,genlayer write --fee-profile,release-evidence/r1/g0/deploy-success-pinned/smoke-write-receipt.txt,,,,"2026-09-10"
F0-GIT-01,VERIFIED,Claude/Release,F0,,git init; git log,Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-STRUCT-01,VERIFIED,Claude/Release,F0,package.json;contracts/;schemas/;policies/;evidence/;tests/,manual structure review,Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-DEPS-01,VERIFIED,Claude/Release,F0,package.json;requirements.txt,npm install; pip install -r requirements.txt,package-lock.json,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-LOCKS-01,VERIFIED,Claude/Release,F0,toolchain/,diff against G0 locks,toolchain/versions.lock;toolchain/runner.lock;toolchain/network.lock.json,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-GITIGNORE-01,VERIFIED,Claude/Release,F0,.gitignore,manual review,.gitignore,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-ENVEXAMPLE-01,VERIFIED,Claude/Release,F0,.env.example,secret scan,.env.example,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-LINT-01,VERIFIED,Claude/Release,F0,package.json scripts;Makefile,npm run schema:validate,release-evidence/r1 (see Phase Log),,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-CI-01,IMPLEMENTED / UNVERIFIED,Claude/Release,F0,.github/workflows/ci.yml;scripts/py-verify.sh;package.json (verify:py),"manual review only - CI has never actually run on a remote GitHub Actions runner; locally re-verified: npm ci + npm run verify (single canonical job, Python 3.14.4 matching G0 lock, no || true)",.github/workflows/ci.yml,TM-INF-004,"still IMPLEMENTED / UNVERIFIED - no remote CI run has ever succeeded. Refreshed per A0-R4/A0-R5: CI now uses npm ci (not npm install), Python 3.14.4 (matching toolchain/versions.lock exactly, was silently 3.12), and one canonical `npm run verify` job that includes the Python conditional gate",1f78b374e621fd3cc8ff2b2e7f863e69149b233f,"2026-09-10"
F0-DISCOVERY-01,VERIFIED,Claude/Protocol,F0,scripts/list-deployable-contracts.js;scripts/test-list-deployable-contracts.js,"node scripts/list-deployable-contracts.js; node scripts/test-list-deployable-contracts.js (8/8 automated boundary tests)",docs/execution/Phase Log.md,TM-AUTH-009,,82b0d7ce50ad3db62aaa34b677bd6d8927dd7b25,"2026-09-10"
F0-MANIFEST-01,VERIFIED,Claude/Release,F0,deployment/manifest.schema.json,manual schema review,deployment/manifest.schema.json,TM-INF-010,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-EVIDENCE-01,VERIFIED,Claude/Release,F0,release-evidence/r1/*,directory listing,docs/execution/Phase Log.md,,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F0-SECRETS-01,VERIFIED,Claude/Release,F0,,repo-wide secret grep scan,docs/execution/Phase Log.md,TM-INF-006,,fe86a2f7ae8f113956cc4815410b79dd26df3f2d,"2026-09-10"
F1-TYPES-01,VERIFIED,Claude/Frontend,F1,schemas/ (19 files) - notably schemas/incident/DecisionRecord.schema.json;schemas/incident/DecisionView.schema.json;schemas/evidence/EvidenceSource.schema.json;schemas/transaction/GenLayerTransactionLifecycle.schema.json,manual + governance cross-reference (F1-v3),docs/execution/Frontend Contract v1.md,,,1f78b374e621fd3cc8ff2b2e7f863e69149b233f,"2026-09-10"
F1-SDK-01,IMPLEMENTED / UNVERIFIED,Claude/SDK,F1,docs/execution/Frontend Contract v1.md Section 2 (14 methods incl. getDecisionView),signature review only; no implementation yet,docs/execution/Frontend Contract v1.md,,,1f78b374e621fd3cc8ff2b2e7f863e69149b233f,"2026-09-10"
F1-FIXTURES-01,VERIFIED,Claude/QA,F1,tests/frontend-fixtures/ (40 files),npm run schema:validate (40/40 pass),tests/frontend-fixtures/manifest.json,,,82b0d7ce50ad3db62aaa34b677bd6d8927dd7b25,"2026-09-10"
