requirement_id,status,implementation_ref,test_or_evidence_ref,remaining_verification
NFR-REL-001,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-002,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-003,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-004,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-005,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-006,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-007,NOT STARTED,,,live browser/E2E confirmation
NFR-REL-008,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-001,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-002,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-003,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-004,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-005,IN PROGRESS,"packages/protocol-sdk/src/client.ts::buildRevokeAuthority/buildDisableAction/buildDisableResource (owner-bounded, non-value-moving, authority-reducing writes only - TM-AUTH-008)",scripts/test-frontend-remediation.js,live 61997 owner-signed evidence
NFR-SEC-006,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-007,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-008,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-009,NOT STARTED,,,live browser/E2E confirmation
NFR-SEC-010,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-001,IN PROGRESS,frontend/app.js target-detail ''Owner bounded controls'' panel (TM-UX: authority-reducing actions are pre-sign reviewed through the same draft-registry pipeline as every other write),scripts/test-frontend-remediation.js,connected-wallet browser evidence
NFR-UX-002,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-003,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-004,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-005,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-006,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-007,NOT STARTED,,,live browser/E2E confirmation
NFR-UX-008,IN PROGRESS,frontend/app.js::handlePolicyReview real manifest-hash/diff output (never a setLiveMessage-only placeholder),scripts/test-frontend-remediation.js,representative authority-expansion browser screenshot with a connected live SDK
NFR-UX-009,NOT STARTED,,,live browser/E2E confirmation
