threat_id,severity,affected_asset,trust_boundary,attack_precondition,required_mitigation,implementation_owner,required_verification,mapped_rtm,audit_gate,baseline_status,residual_risk_state,notes
TM-AUTH-001,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Kernel accepts action with no active policy,default deny; active-policy check,Claude/Protocol,negative Kernel test,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unauthorised target control
TM-AUTH-002,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Policy effect names unsupported action/resource,finite enums; schema validation; default deny,Claude/Protocol,unsupported action/resource tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: scope escape
TM-AUTH-003,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Judge/model supplies arbitrary calldata or target,DecisionRecord contains semantic codes only; typed effect lookup in Kernel,Claude/Protocol,schema/source audit + fuzz,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: arbitrary execution
TM-AUTH-004,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Policy update expands authority immediately,timelocked expansion; immediate reduction only,Claude/Protocol,policy activation timing tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unreviewed privilege expansion
TM-AUTH-005,HIGH,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Sealed policy edited in place,immutable sealed records/versioning,Claude/Protocol,mutation-negative tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: policy identity corruption
TM-AUTH-006,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Stale policy decision creates effects under new policy,policy hash/version binding; stale-decision reconciliation rules,Claude/Protocol,stale-policy test matrix,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: unintended authority
TM-AUTH-007,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Revoked controller continues acting,live controller/owner validation; revocation flag,Claude/Protocol,revoke-then-action negative test,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: post-revocation authority
TM-AUTH-008,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Wrong Judge/module can call Kernel,exact sender/module validation per rule/version,Claude/Protocol,wrong-sender tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: forged decision authority
TM-AUTH-009,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Generic adapter execute function bypasses action catalogue,narrow typed adapter methods; no generic execute,Claude/Protocol,source/schema audit,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: arbitrary target call
TM-AUTH-010,CRITICAL,AssuranceKernel / Policy authority boundary,Kernel<->Policy<->Judge/controller,Owner safety overlay accidentally broadens authority,overlay can only reduce/disable; generation semantics,Claude/Protocol,property tests,,A1,OPEN - VERIFY DURING IMPLEMENTATION,NOT ACCEPTED,consequence: bypass timelock
